sku,demand_class,model,mae,rmse,bias,wape,mase,n
84077,regular,naive_last,126.0333,150.9277,3.1667,0.8428,0.5619,30
84077,regular,seasonal_naive_7,80.0333,123.9724,2.6333,0.5352,0.3568,30
84077,regular,moving_avg_7,98.4381,111.6708,-3.019,0.6583,0.4389,30
84077,regular,croston_sba,107.9054,122.2864,40.8579,0.7216,0.4811,30
84077,regular,lightgbm,114.8011,145.8953,89.8616,0.7677,0.5119,30
85099B,regular,naive_last,156.6,268.3436,23.6667,0.9347,1.1279,30
85099B,regular,seasonal_naive_7,180.3,297.9948,39.9,1.0762,1.2986,30
85099B,regular,moving_avg_7,159.9476,228.1224,27.1381,0.9547,1.152,30
85099B,regular,croston_sba,156.7376,229.8989,15.5446,0.9356,1.1289,30
85099B,regular,lightgbm,165.3659,240.6998,73.4239,0.9871,1.1911,30
21212,regular,naive_last,57.5667,76.3717,-0.1667,0.8816,0.3745,30
21212,regular,seasonal_naive_7,60.4667,103.8993,18.8,0.926,0.3934,30
21212,regular,moving_avg_7,39.2905,56.8838,3.3952,0.6017,0.2556,30
21212,regular,croston_sba,38.3215,54.1477,8.6676,0.5869,0.2493,30
21212,regular,lightgbm,69.1237,97.2182,51.3992,1.0586,0.4497,30
85123A,regular,naive_last,124.6333,154.6884,3.6333,0.9674,0.8974,30
85123A,regular,seasonal_naive_7,130.4,254.6052,36.1333,1.0122,0.9389,30
85123A,regular,moving_avg_7,105.481,132.0965,4.2143,0.8187,0.7595,30
85123A,regular,croston_sba,96.0868,123.4202,1.2057,0.7458,0.6918,30
85123A,regular,lightgbm,114.93,156.2386,56.2568,0.8921,0.8275,30
22197,regular,naive_last,595.1,947.1015,28.3,1.234,3.8663,30
22197,regular,seasonal_naive_7,395.6,702.9954,-27.2667,0.8203,2.5702,30
22197,regular,moving_avg_7,424.8524,664.1593,-22.5286,0.8809,2.7602,30
22197,regular,croston_sba,371.7396,654.074,-88.7662,0.7708,2.4152,30
22197,regular,lightgbm,305.0303,643.501,-236.0505,0.6325,1.9818,30
84879,regular,naive_last,179.4667,279.9712,42.6667,1.2394,1.4604,30
84879,regular,seasonal_naive_7,146.7333,244.0272,36.0,1.0134,1.194,30
84879,regular,moving_avg_7,114.2238,146.7148,35.681,0.7888,0.9295,30
