horizon_days,scope,model,mae,rmse,bias,wape,mase,n_skus,n_test_points
3,all,naive_last,138.35,169.2041,12.0167,1.2159,0.9844,20,60
3,all,seasonal_naive_7,135.2333,175.5358,12.3333,1.1885,1.0541,20,60
3,all,moving_avg_7,100.5738,128.9156,-25.0548,0.8839,0.7387,20,60
3,all,croston_sba,92.9532,124.5976,-29.6728,0.8169,0.6774,20,60
3,all,lightgbm,116.7594,164.5918,13.2049,1.0261,0.9222,20,60
3,regular,naive_last,157.2941,191.7579,16.7843,1.2486,1.1203,17,51
3,regular,seasonal_naive_7,146.9412,190.6243,12.1176,1.1664,1.1384,17,51
3,regular,moving_avg_7,111.1205,143.9665,-26.0784,0.882,0.8189,17,51
3,regular,croston_sba,104.2722,140.9186,-32.7395,0.8277,0.7645,17,51
3,regular,lightgbm,131.0411,185.6802,12.9179,1.0401,1.0352,17,51
3,intermittent,naive_last,31.0,41.3989,-15.0,0.694,0.2145,3,9
3,intermittent,seasonal_naive_7,68.8889,90.0344,13.5556,1.5423,0.5764,3,9
3,intermittent,moving_avg_7,40.8095,43.6269,-19.254,0.9137,0.284,3,9
3,intermittent,croston_sba,28.8122,32.1115,-12.2951,0.645,0.184,3,9
3,intermittent,lightgbm,35.8296,45.091,14.8312,0.8021,0.2819,3,9
7,all,naive_last,115.2214,169.0023,19.25,1.4286,0.9187,20,140
7,all,seasonal_naive_7,85.1643,138.761,1.8072,1.056,0.6879,20,140
7,all,moving_avg_7,82.3327,113.459,5.9551,1.0209,0.6678,20,140
7,all,croston_sba,79.9704,114.2745,4.2282,0.9916,0.6495,20,140
7,all,lightgbm,85.9356,139.63,24.6268,1.0655,0.7313,20,140
7,regular,naive_last,130.2521,190.838,23.7143,1.4478,1.0474,17,119
7,regular,seasonal_naive_7,91.7143,149.9005,0.437,1.0194,0.7455,17,119
7,regular,moving_avg_7,90.0084,125.4728,6.3757,1.0005,0.7378,17,119
7,regular,croston_sba,88.3264,127.7496,3.9395,0.9818,0.7276,17,119
7,regular,lightgbm,90.8688,151.1228,20.4775,1.01,0.7902,17,119
7,intermittent,naive_last,30.0476,45.2663,-6.0476,1.0787,0.1894,3,21
7,intermittent,seasonal_naive_7,48.0476,75.637,9.5714,1.7248,0.3617,3,21
7,intermittent,moving_avg_7,38.8368,45.3808,3.5714,1.3941,0.2715,3,21
7,intermittent,croston_sba,32.6198,37.9154,5.864,1.171,0.2072,3,21
7,intermittent,lightgbm,57.9807,74.504,48.1392,2.0813,0.3974,3,21
14,all,naive_last,98.8786,151.1002,3.05,1.2124,0.8294,20,280
14,all,seasonal_naive_7,78.7464,131.2363,2.7393,0.9656,0.6622,20,280
14,all,moving_avg_7,79.3617,112.8712,0.1781,0.9731,0.669,20,280
14,all,croston_sba,77.1845,111.6012,3.1591,0.9464,0.6509,20,280
14,all,lightgbm,91.8435,145.0083,38.0989,1.1262,0.8108,20,280
14,regular,naive_last,108.7395,165.0488,3.9748,1.2058,0.9195,17,238
14,regular,seasonal_naive_7,80.8613,136.2597,-0.1807,0.8966,0.6874,17,238
14,regular,moving_avg_7,85.1639,122.5093,-1.4256,0.9443,0.7247,17,238
14,regular,croston_sba,84.4154,122.2351,3.3078,0.936,0.7193,17,238
14,regular,lightgbm,94.9154,151.6384,35.4324,1.0525,0.8562,17,238
14,intermittent,naive_last,43.0,72.0579,-2.1905,1.3172,0.3184,3,42
14,intermittent,seasonal_naive_7,66.7619,102.7704,19.2857,2.0452,0.5192,3,42
14,intermittent,moving_avg_7,46.483,58.2551,9.2653,1.424,0.3533,3,42
14,intermittent,croston_sba,36.2096,51.3424,2.3165,1.1093,0.2635,3,42
14,intermittent,lightgbm,74.4358,107.4381,53.209,2.2803,0.5536,3,42
30,all,naive_last,109.92,175.1231,5.8167,1.189,0.9659,20,600
30,all,seasonal_naive_7,92.7983,166.2143,5.595,1.0038,0.8221,20,600
30,all,moving_avg_7,86.3972,129.3754,2.2467,0.9345,0.7618,20,600
30,all,croston_sba,80.4076,125.879,-1.4639,0.8697,0.7055,20,600
30,all,lightgbm,95.6225,150.1822,31.0437,1.0343,0.8619,20,600
30,regular,naive_last,119.8039,189.9577,7.1373,1.1716,1.0663,17,510
30,regular,seasonal_naive_7,99.6941,179.1527,7.4627,0.9749,0.8972,17,510
30,regular,moving_avg_7,93.691,139.9293,3.3443,0.9162,0.838,17,510
30,regular,croston_sba,87.5667,136.4022,-0.8752,0.8563,0.7801,17,510
30,regular,lightgbm,99.3666,158.4709,29.0804,0.9717,0.9234,17,510
30,intermittent,naive_last,53.9111,91.0604,-1.6667,1.4619,0.3967,3,90
30,intermittent,seasonal_naive_7,53.7222,92.8971,-4.9889,1.4568,0.3965,3,90
30,intermittent,moving_avg_7,45.0651,69.5703,-3.973,1.222,0.3302,3,90
30,intermittent,croston_sba,39.8396,66.2475,-4.7997,1.0803,0.2825,3,90
30,intermittent,lightgbm,74.4058,103.2129,42.1689,2.0176,0.5131,3,90
